Id,track_id,artists,album_name,track_name,track_genre,duration_ms,mode,tempo,popularity,key,loudness,explicit,time_signature,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness
62000,3dPtXHP0oXQ4HCWHsOA9js,YOASOBI,夜に駆ける,夜に駆ける,j-pop,261013,1,130.041,74,8,-5.221,False,4,0.67,0.874,0.789,0.00231,1.72E-5,0.0305,0.3
62001,7LHAKF7pBqHch8o6Yo0ad5,RADWIMPS;Toaka,Suzume,Suzume,j-pop,236390,0,78.025,68,2,-6.572,False,4,0.571,0.415,0.342,0.615,0,0.0305,0.187
62002,0o9zmvc5f3EFApU52PPIyW,Fujii Kaze,HELP EVER HURT NEVER,Shinunoga E-Wa,j-pop,185573,0,158.078,85,6,-6.124,False,4,0.6,0.76,0.519,0.166,4.09E-5,0.0452,0.189
62003,1di1C0QI6Y92yZPYn6XYAZ,KANA-BOON,TIME,シルエット,j-pop,240133,1,91.481,73,2,-2.685,False,4,0.436,0.934,0.384,1.03E-5,0.14,0.0507,0.321
62004,1rN9QoVxw5U7TJkyaUR8C1,TK from Ling tosite sigure,Fantastic Magic,unravel,j-pop,238360,0,135.014,73,7,-2.755,False,4,0.508,0.889,0.332,0.0495,0,0.0862,0.0984
62005,1AM8QdDFZMq6SrrqUnuQ9P,Michael Bublé,It's Time,Feeling Good,j-pop,237333,1,115.144,73,1,-6.51,False,3,0.535,0.548,0.477,0.533,1.48E-6,0.037,0.123
62006,0olowJHoOuNQXDDERcchzM,Fujii Kaze,Autumn Vibes 2022,Shinunoga E-Wa,j-pop,185573,0,158.078,0,6,-6.124,False,4,0.6,0.76,0.519,0.166,4.09E-5,0.0452,0.189
62007,2e1gUS6Wv8GS8ZT6FMeE1J,ロクデナシ,ただ声一つ,ただ声一つ,j-pop,161561,1,129.97,70,1,-5.78,False,4,0.707,0.5,0.583,0.895,4.0E-5,0.0296,0.234
62008,3A4FRzgve9BjfKbvVXRIFO,RADWIMPS,Your Name.,Sparkle - movie ver.,j-pop,537653,1,123.993,66,11,-8.421,False,4,0.372,0.426,0.287,0.687,0.00784,0.0339,0.109
62009,2XpV9sHBexcNrz0Gyf3l18,Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,ブルーバード,j-pop,215706,0,152.076,70,6,-2.929,False,4,0.536,0.966,0.849,0.121,0,0.0558,0.0477
62010,2ajUl8lBLAXOXNpG4NEPMz,Michael Bublé,Michael Bublé,Sway,j-pop,188066,0,125.959,74,2,-5.529,False,4,0.713,0.639,0.737,0.753,0,0.0313,0.0878
62011,4ca6LN5b17Qjo2GinxmA5v,Ado,TOKYO - HALLOWEEN -,Tot Musica,j-pop,195226,0,129.974,0,5,-3.948,False,4,0.669,0.934,0.175,0.073,0,0.0653,0.123
62012,7v8wKvNQQIxkugCFFjrkaO,Aimer,残響散歌,残響散歌,j-pop,184893,1,170.863,77,11,-4.002,False,4,0.367,0.896,0.38,6.27E-4,0,0.091,0.207
62013,6Ojs2aTZv7yeHkZKJQx8UV,Ado,J-Pop 輕旅行,世界のつづき,j-pop,287986,1,75.209,9,9,-7.331,False,4,0.368,0.327,0.21,0.406,0,0.029,0.103
62014,4CreOwx4doKJUyxRR0GjIE,AVIWKILA,"I Like You so Much, You’ll Know It","I Like You so Much, You’ll Know It",j-pop,193980,1,107.99,59,3,-5.318,False,4,0.717,0.508,0.762,0.889,0,0.0295,0.185
62015,074NgeLzrXD9hQ5O3iNIcY,ONE OK ROCK,Rock Brandneu,Save Yourself,j-pop,197995,1,165.096,1,5,-2.709,False,4,0.503,0.849,0.762,0.00428,0,0.0615,0.0667
62016,1G21erc1ygVSJDvadnWfRX,Michael Bublé;Nelly Furtado,Just Best Covers,"Quando, Quando, Quando",j-pop,284373,1,116.042,2,9,-9.196,False,4,0.644,0.427,0.577,0.778,9.51E-5,0.0391,0.136
62017,5P7RUK1ibNNyuaGoXgs4W6,Michael Bublé,Holly Jolly Christmas,Holly Jolly Christmas,j-pop,119786,1,151.251,2,7,-8.308,False,4,0.649,0.466,0.699,0.865,0,0.0428,0.0882
62018,1rj9l40X83Ju0I0hdCjOL1,Michael Bublé,Christmas Time,Holly Jolly Christmas,j-pop,119786,1,151.251,2,7,-8.308,False,4,0.649,0.466,0.699,0.865,0,0.0428,0.0882
62019,4DwWLKys3e3SRuJovxX7hz,Michael Bublé,Perfect Christmas Hits,It's Beginning to Look a Lot Like Christmas,j-pop,206346,1,93.391,1,4,-11.042,False,3,0.335,0.232,0.381,0.908,8.89E-6,0.0334,0.292
62020,57rnZ6f2YgQW0iw2kT12Kt,Michael Bublé,Feeling Good - Adult Pop Favorites,Feeling Good,j-pop,237333,1,115.146,1,1,-6.51,False,3,0.535,0.547,0.477,0.533,1.49E-6,0.037,0.123
62021,0Gjsi7CQFsZJUIUKQIxYQP,Michael Bublé,Cuddle Up Christmas,It's Beginning to Look a Lot Like Christmas,j-pop,206346,1,93.391,0,4,-11.042,False,3,0.335,0.232,0.381,0.908,8.89E-6,0.0334,0.292
62022,2A5eNt3Iso3DUkXuLvS6iB,Michael Bublé,Christmas Music - Holiday Hits,It's Beginning to Look a Lot Like Christmas,j-pop,206346,1,93.391,0,4,-11.042,False,3,0.335,0.232,0.381,0.908,8.89E-6,0.0334,0.292
62023,2VSdj9iXoaPojkSMKp2gXI,Michael Bublé,Mellow Adult Pop,Me and Mrs. Jones,j-pop,271786,1,198.154,2,1,-8.666,False,3,0.36,0.381,0.346,0.59,5.1E-5,0.0488,0.0846
62024,1rw6CYYHLFBISRtZxYP8sh,Michael Bublé,Merry Christmas,It's Beginning to Look a Lot Like Christmas,j-pop,206346,1,93.391,0,4,-11.042,False,3,0.335,0.232,0.381,0.908,8.89E-6,0.0334,0.292
62025,5mXkwFSEKXMDikxK6x6lDv,Michael Bublé,Coffee Moment,Love You Anymore,j-pop,182666,1,90.014,0,6,-7.785,False,4,0.693,0.257,0.603,0.869,0,0.0356,0.11
62026,1uWxXVpl4ZXFT7d6CH7LBS,Michael Bublé,Pop Hits Now,I'll Never Not Love You,j-pop,218390,1,144.363,0,11,-5.045,False,4,0.492,0.791,0.585,0.00816,1.87E-5,0.0703,0.11
62027,5uNnGViAuZIkoUhVwmFWlr,Norah Jones,Coffee Break,Shoot The Moon,j-pop,237173,1,74.031,1,0,-12.436,False,4,0.573,0.265,0.425,0.903,0.00152,0.027,0.094
62028,2lN6zxaP5KYQHKSAh7nWBs,Michael Bublé,Human - Best Adult Pop Tunes,I'll Never Not Love You,j-pop,218390,1,144.363,1,11,-5.045,False,4,0.492,0.791,0.585,0.00816,1.87E-5,0.0703,0.11
62029,3AQWkYhZm0okGpW5yTGxiA,Norah Jones,Rockin' Around The Christmas Tree 2022,Christmas Calling (Jolly Jones),j-pop,200461,1,143.912,0,8,-6.296,False,4,0.43,0.543,0.354,0.463,5.23E-4,0.0367,0.0928
62030,3LzaKDsdKNFvDTiLjGV1Hj,Norah Jones,Jingle Bell Rock 2022,Christmas Don't Be Late,j-pop,160293,1,66.377,2,5,-6.953,False,4,0.464,0.356,0.265,0.708,7.76E-5,0.03,0.108
62031,7i4ClHpiIbAf5Qfmj6jYJG,Norah Jones,All I Want For Christmas Is You,Christmas Calling (Jolly Jones),j-pop,200461,1,143.912,0,8,-6.296,False,4,0.43,0.543,0.354,0.463,5.23E-4,0.0367,0.0928
62032,5XXVagaaaeWjbjdwggIYu9,Norah Jones,Holidays Are Coming,Blue Christmas,j-pop,204826,1,66.72,0,0,-10.566,False,4,0.536,0.163,0.233,0.695,2.39E-4,0.0349,0.126
62033,5JG7sDluJPAh8zcW2JuxvS,Norah Jones,REGNIG DAG,I Think It's Going To Rain Today - Live,j-pop,184066,1,104.138,5,3,-12.457,False,3,0.461,0.0825,0.194,0.984,3.06E-5,0.0474,0.704
62034,3v6nuqte5aF8NyNAMr9Z8A,Norah Jones,Rockin' Around The Christmas Tree 2022,Christmas Don't Be Late,j-pop,160293,1,66.377,0,5,-6.953,False,4,0.464,0.356,0.265,0.708,7.76E-5,0.03,0.108
62035,0hyklxPQEAkEE7TmW6fneb,Norah Jones,Christmas Best Hits 2022,Christmas Calling (Jolly Jones),j-pop,200461,1,143.912,0,8,-6.296,False,4,0.43,0.543,0.354,0.463,5.23E-4,0.0367,0.0928
62036,4tAFgTwOs5mVJthAx3eMck,Norah Jones,Holidays Are Coming,Christmas Don't Be Late,j-pop,160293,1,66.785,0,10,-6.941,False,4,0.497,0.374,0.235,0.751,5.82E-5,0.028,0.118
62037,0PImsyxnQ3H1P3yZRSRfv9,Norah Jones,Santa Claus Is Coming To Town,Christmas Calling (Jolly Jones),j-pop,200461,1,143.912,0,8,-6.296,False,4,0.43,0.543,0.354,0.463,5.23E-4,0.0367,0.0928
62038,4b2jsFgwiua3iomixuDbJk,Norah Jones,A Merry Modern Christmas,The Christmas Waltz,j-pop,197866,1,175.2,0,5,-6.538,False,3,0.475,0.347,0.285,0.776,1.2E-4,0.213,0.113
62039,6DBvBUP5xAytSocaBr05vD,Norah Jones,All I Want For Christmas Is You,Wintertime,j-pop,228234,1,183.468,0,0,-12.519,False,4,0.525,0.205,0.207,0.84,0.0213,0.0457,0.114
62040,2YujY0AUbWO6f6gyyf6pXI,Norah Jones,Christmas Best Hits 2022,Wintertime,j-pop,228234,1,183.468,0,0,-12.519,False,4,0.525,0.205,0.207,0.84,0.0213,0.0457,0.114
62041,5eiNZ6Bta9NSU5AJ2Gfsd4,Norah Jones,Santa Claus Is Coming To Town,Wintertime,j-pop,228234,1,183.468,0,0,-12.519,False,4,0.525,0.205,0.207,0.84,0.0213,0.0457,0.114
62042,2KKsgm1YQKWC1fpPqz3dU4,Norah Jones,World's Best Christmas Playlist,Christmas Don't Be Late,j-pop,160293,1,66.785,0,10,-6.941,False,4,0.497,0.374,0.235,0.751,5.82E-5,0.028,0.118
62043,7bdROC1GostP0gWqEP8P2h,Norah Jones,Christmas Dinner,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,j-pop,192420,1,93.777,0,0,-20.033,False,3,0.473,0.068,0.262,0.892,0.00216,0.0315,0.105
62044,7Krx6Hsh1pC1gpfkKaV51q,Norah Jones,All I Want For Christmas Is You,Christmas Don't Be Late,j-pop,160293,1,66.785,0,10,-6.941,False,4,0.497,0.374,0.235,0.751,5.82E-5,0.028,0.118
62045,0bCs8cnCjM38ZB01jCGOFG,Norah Jones,Christmas Best Hits 2022,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,j-pop,192420,1,93.777,0,0,-20.033,False,3,0.473,0.068,0.262,0.892,0.00216,0.0315,0.105
62046,6ZMx2iR4mBPKDXThxyUWFI,Norah Jones,Christmas Best Hits 2022,Christmas Don't Be Late,j-pop,160293,1,66.785,0,10,-6.941,False,4,0.497,0.374,0.235,0.751,5.82E-5,0.028,0.118
62047,0dDiL61IhX9p8e5hjsuiK7,Norah Jones,All I Want For Christmas Is You,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,j-pop,192420,1,93.777,0,0,-20.033,False,3,0.473,0.068,0.262,0.892,0.00216,0.0315,0.105
62048,1xUuWDvTOwwhaj8CCLunhs,Norah Jones,Lonely Christmas 2022,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,j-pop,192420,1,93.777,0,0,-20.033,False,3,0.473,0.068,0.262,0.892,0.00216,0.0315,0.105
62049,2YJ7Y1oJO1O9w4qnxoJWmK,Norah Jones,Santa Claus Is Coming To Town,Christmas Don't Be Late,j-pop,160293,1,66.785,0,10,-6.941,False,4,0.497,0.374,0.235,0.751,5.82E-5,0.028,0.118
62050,3khEEPRyBeOUabbmOPJzAG,Kenshi Yonezu,KICK BACK,KICK BACK,j-pop,193495,1,101.921,83,1,-5.17,False,4,0.577,0.941,0.292,0.00207,3.36E-6,0.105,0.0891
62051,6MCjmGYlw6mQVWRFVgBRvB,YOASOBI,THE BOOK,夜に駆ける,j-pop,258838,1,130.025,75,8,-5.287,False,4,0.663,0.871,0.826,0.00299,1.8E-6,0.03,0.337
