Id,track_id,artists,album_name,track_name,track_genre,duration_ms,mode,tempo,popularity,key,loudness,explicit,time_signature,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness
65000,3hkC9EHFZNQPXrtl8WPHnX,Alka Yagnik;Arijit Singh,Tamasha,Agar Tum Saath Ho,k-pop,341054,1,122.925,73,3,-8.744,False,4,0.562,0.519,0.415,0.557,2.68E-4,0.0326,0.172
65001,45OX2jjEw1l7lOFJfDP9fv,LISA,LALISA,MONEY,k-pop,168227,0,140.037,78,1,-10.121,False,4,0.826,0.553,0.4,0.163,4.12E-5,0.234,0.135
65002,5aucVLKiumD89mxVCB4zvS,Crush;j-hope,Rush Hour,Rush Hour (Feat. j-hope of BTS),k-pop,177302,1,95.035,83,0,-5.235,False,4,0.738,0.714,0.74,0.157,0,0.249,0.31
65003,1R0hxCA5R7z5TiaXBZR7Mf,JENNIE,SOLO,SOLO,k-pop,169566,0,95.043,73,3,-5.165,False,4,0.752,0.642,0.388,0.0861,0,0.0869,0.0953
65004,4a9tbd947vo9K8Vti9JwcI,BTS;Halsey,MAP OF THE SOUL : PERSONA,Boy With Luv (feat. Halsey),k-pop,229773,0,119.947,80,11,-4.761,False,4,0.645,0.862,0.803,0.0933,0,0.0845,0.193
65005,6cvGDClEIomp5CfKY3pQuZ,Jubin Nautiyal,Dhokha Round D Corner,Tu Banke Hawa,k-pop,288020,0,88.045,32,1,-9.564,False,4,0.273,0.588,0.138,0.265,3.07E-4,0.0579,0.178
65006,2KZ3sNqPogEyMUUH6A5HFy,LISA,LALISA,LALISA,k-pop,200689,1,150.076,73,8,-6.282,False,4,0.804,0.652,0.854,0.0267,7.82E-4,0.0898,0.118
65007,2kOH2QZB7F7I1iVXqwKuBF,Dhanush;Anirudh Ravichander,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")","Mayakkama Kalakkama (From ""Thiruchitrambalam"")",k-pop,142258,0,124.029,77,9,-5.422,False,4,0.789,0.536,0.877,0.604,2.09E-6,0.0424,0.088
65008,5FVbvttjEvQ8r2BgUcJgNg,BTS,BE,Life Goes On,k-pop,207481,1,81.068,79,1,-5.733,False,4,0.566,0.716,0.45,0.00691,0,0.0424,0.37
65009,459EdQfV196emJYVTMYZd1,Alka Yagnik;Alap Desai,Gayatri Mantra,Gayatri Mantra,k-pop,245000,1,107.862,31,0,-8.075,False,4,0.42,0.341,0.193,0.942,0.00123,0.0325,0.105
65010,7HPM13Xek5XoRWxRzHfvkB,Jubin Nautiyal;Meet Bros.;Shardul Rathod,Dil Galti Kar Baitha Hai,Dil Galti Kar Baitha Hai,k-pop,273272,0,92.059,67,1,-5.123,False,4,0.612,0.78,0.554,0.0781,0,0.0814,0.0593
65011,5QDLhrAOJJdNAmCTJ8xMyW,BTS,BE,Dynamite,k-pop,199053,0,114.044,85,6,-4.41,False,4,0.746,0.765,0.737,0.0112,0,0.0993,0.0936
65012,0loZn1c5heXie7OAtvK6nH,Jubin Nautiyal;Rocky - Shiv,Humnava Mere,Humnava Mere,k-pop,328992,0,79.144,72,5,-8.263,False,4,0.401,0.553,0.364,0.47,2.96E-6,0.0337,0.124
65013,7EyhPjrJzjx0fk2i7vUJCS,BLACKPINK,Pink Venom,Pink Venom,k-pop,186964,1,90.016,85,0,-7.227,False,4,0.794,0.719,0.69,0.0119,0,0.0761,0.276
65014,4bt0XG1MoZ1fkZ095X6WHC,Yuvan Shankar Raja;Dhanush,Naane Varuvean,Rendu Raaja,k-pop,202718,1,150.061,36,0,-9.537,False,4,0.607,0.695,0.594,0.163,4.26E-6,0.0567,0.109
65015,3BHR1mJOqn2UZyq98YKPgd,BLACKPINK,BORN PINK,Typa Girl,k-pop,179172,1,131.966,82,7,-7.781,True,4,0.918,0.585,0.519,0.0627,0,0.0889,0.624
65016,1I2MEjnS9c4OPMnKWbIuYs,BLACKPINK,BORN PINK,Hard to Love,k-pop,162569,1,105.001,80,5,-6.214,True,4,0.647,0.723,0.443,0.00503,0,0.0491,0.176
65017,6bvZRLLkBKkmgpBJTTj3QK,BLACKPINK,THE ALBUM,How You Like That,k-pop,180956,1,130.018,75,11,-4.254,False,4,0.813,0.787,0.326,0.0452,1.07E-4,0.0777,0.0506
65018,6m1TWFMeon7ai9XLOzdbiR,BTS,Love Yourself 轉 'Tear',FAKE LOVE,k-pop,242333,0,77.502,76,2,-4.515,False,4,0.557,0.719,0.345,0.00267,0,0.0371,0.306
65019,6tCd8bPvYnceDG7W9M1RMk,BLACKPINK,BORN PINK,Shut Down,k-pop,175889,1,110.053,87,0,-6.447,False,3,0.813,0.657,0.651,0.00269,0,0.0372,0.183
65020,4nX9XlGazE4EkOJQyrT64j,Yuvan Shankar Raja;Dhanush,"Rendu Raaja (From ""Naane Varuvean"")",Rendu Raaja,k-pop,202718,1,150.061,66,0,-9.537,False,4,0.607,0.695,0.594,0.163,4.26E-6,0.0567,0.109
65021,1pean7zvZUqcWZaUucH63f,Dhanush;Anirudh Ravichander,"Thaai Kelavi (From ""Thiruchitrambalam"")","Thaai Kelavi (From ""Thiruchitrambalam"")",k-pop,258909,0,82.508,76,9,-3.469,False,4,0.661,0.92,0.494,0.0352,1.4E-5,0.188,0.314
65022,58SIEtTjWErr0yEXVBKxvd,Jubin Nautiyal,Shri Krishna Govind Hare Murari,Shri Krishna Govind Hare Murari,k-pop,153002,1,110,66,7,-7.996,False,4,0.59,0.632,0.345,0.301,0,0.0376,0.169
65023,6TQS7URegxmcb8tTNpoXzi,Dhanush;Anirudh Ravichander,"Megham Karukatha (From ""Thiruchitrambalam"")","Megham Karukatha (From ""Thiruchitrambalam"")",k-pop,290400,0,149.966,80,4,-6.573,False,3,0.429,0.614,0.743,0.513,3.16E-4,0.0709,0.0922
65024,5YMXGBD6vcYP7IolemyLtK,BTS,Love Yourself 結 'Answer',Euphoria,k-pop,228615,1,104.996,78,2,-4.518,False,4,0.637,0.799,0.57,0.394,0,0.0338,0.0921
65025,7k7DnptxRrSXcTdEPd1R4F,Yuvan Shankar Raja,Naane Varuvean,Veera Soora,k-pop,205145,1,200.029,36,2,-7.801,False,4,0.552,0.742,0.537,0.219,2.25E-5,0.118,0.21
65026,0lNr0bkRupchqckGeSMSpZ,Yuvan Shankar Raja,"Veera Soora (From ""Naane Varuvean"")",Veera Soora,k-pop,205145,1,100.118,70,2,-8.075,False,4,0.518,0.723,0.363,0.157,1.2E-5,0.137,0.107
65027,5t5NtSHXgRdREs8wPM5LSz,Yuvan Shankar Raja;Anthony Daasan,Naane Varuvean,Yaarum Illa,k-pop,205435,1,129.988,34,0,-5.601,False,4,0.603,0.64,0.699,0.258,0,0.0318,0.349
65028,69BIczdH6QMnFx7dsSssN8,BLACKPINK,SQUARE UP,DDU-DU DDU-DU,k-pop,209355,0,139.931,71,4,-3.922,False,4,0.671,0.859,0.39,0.0313,0,0.0833,0.267
65029,7Em0lueWaMfJ4MWMDdSGNt,Yuvan Shankar Raja;Sid Sriram,Naane Varuvean,Pinju Pinju Mazhai,k-pop,318427,0,104.984,30,11,-10.096,False,4,0.746,0.649,0.654,0.587,1.23E-5,0.0327,0.134
65030,69xohKu8C1fsflYAiSNbwM,BTS,Proof,Run BTS,k-pop,204939,1,77.004,84,8,-3.747,False,4,0.724,0.818,0.696,0.0201,0,0.168,0.0358
65031,10SRMwb9EuVS1K9rYsBfHQ,BTS,Proof,Yet To Come,k-pop,193593,1,172.029,85,1,-4.515,False,4,0.559,0.885,0.683,0.0432,0,0.189,0.333
65032,6kekHWEQ4SyMe5EjYAlveP,Yuvan Shankar Raja;Sid Sriram,"High On Love (From ""Pyaar Prema Kaadhal"" Original Motion Picture Soundtrack)",High On Love,k-pop,240169,0,149.929,65,4,-4.944,False,4,0.627,0.779,0.619,0.214,9.34E-6,0.0392,0.112
65033,5P3o95Jf0YBQRQ4j2XPpfC,BLACKPINK,BORN PINK,Pink Venom,k-pop,186964,1,90.016,83,0,-7.227,False,4,0.794,0.719,0.69,0.0119,0,0.0761,0.276
65034,5K6JpLRCdbIQigdJp2jFWQ,Yuvan Shankar Raja;MC Vickey;Durai,"Thotta Load Aage Waiting (From ""Laththi"")","Thotta Load Aage Waiting - From ""Laththi""",k-pop,198971,0,91.99,47,9,-8.896,False,4,0.78,0.739,0.593,0.0292,1.18E-6,0.0567,0.0799
65035,4j0on3LOcJjmco34Pyv0p9,Yuvan Shankar Raja;Sarath Santosh,Pasalapoodi Veerababu (Original Motion Picture Soundtrack),Ganjai Poovu,k-pop,237660,1,164.911,47,8,-7.939,False,3,0.6,0.687,0.671,0.359,0,0.326,0.245
65036,3XYRV7ZSHqIRDG87DKTtry,BTS,Permission to Dance,Permission to Dance,k-pop,187585,1,124.925,80,9,-5.33,False,4,0.702,0.741,0.646,0.00544,0,0.0427,0.337
65037,5TL3UHuEBRMPbAIAOiPJmc,Yuvan Shankar Raja;Udit Narayan,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),Enkeyoo Partha,k-pop,320960,0,119.994,68,7,-8.899,False,4,0.822,0.446,0.654,0.486,0.00102,0.0321,0.147
65038,3FRLxtpSk9BxxnxdS6I4jq,Yuvan Shankar Raja;Tanvi Shah,Naan Mahaan Alla (Original Motion Picture Soundtrack),Iragai Poley,k-pop,317739,0,115.004,65,3,-8.364,False,4,0.875,0.539,0.305,0.0586,0.0047,0.0367,0.116
65039,5mQJTsR0OWKxg0ib1y145I,Yuvan Shankar Raja;Narayanan Ravishankar,Pasalapoodi Veerababu (Original Motion Picture Soundtrack),Aakasam Adhiri Pada,k-pop,248450,0,149.949,43,4,-9.267,False,4,0.742,0.692,0.628,0.464,1.39E-5,0.237,0.0951
65040,4kDyGiTGv3QznWbovgJHyn,Yuvan Shankar Raja;Ranjith Govind;Pavithra Chari,Pasalapoodi Veerababu (Original Motion Picture Soundtrack),Manase Manihaarame,k-pop,229536,1,157.523,46,7,-10.747,False,3,0.661,0.53,0.661,0.187,0,0.0974,0.142
65041,2FCXQHugkoHE1K3tiDu8pu,Alka Yagnik;Arijit Singh,Love Forever With Arijit Singh,"Agar Tum Saath Ho (From ""Tamasha"")",k-pop,341054,1,122.925,72,3,-8.744,False,4,0.562,0.519,0.415,0.557,2.68E-4,0.0326,0.172
